"","Genus","mean","median","min","max","prevalence"
"577","Buchnera",0,0,0,0,6.9
"578","Phaseolibacter",0,0,0,0.1,6.9
"579","Moellerella",0,0,0,0,3.4
"580","Photorhabdus",0,0,0,0.2,46.6
"581","Proteocatella",0,0,0,0.1,25.9
"582","Proteus",0,0,0,0.2,22.4
"583","Providencia",0,0,0,0.2,20.7
"584","Phytobacter",0,0,0,0.5,19
"585","Plesiomonas",0,0,0,0,3.4
"586","Lonsdalea",0,0,0,0,3.4
"587","Pectobacterium",0,0,0,1.5,17.2
"588","Sodalis",0,0,0,0,8.6
"589","Ewingella",0,0,0,0.1,8.6
"590","Samsonia",0,0,0,0.2,10.3
"591","Yersinia",0,0,0,0,3.4
"592","Coxiella",0,0,0,0.1,8.6
"593","Legionella",0,0,0,0.1,8.6
"594","Methylogaea",0,0,0,0,8.6
"595","Methylomicrobium",0,0,0,0,8.6
"596","Methylomarinovum",0,0,0,0.1,10.3
"597","Plasticicumulans",0,0,0,0.2,3.4
"598","Celerinatantimonas",0,0,0,0.1,3.4
"599","proteobacterium",0,0,0,0.1,20.7
"600","Thiohalorhabdus",0,0,0,0.1,20.7
"601","Thiolapillus",0,0,0,0.2,3.4
"602","Steroidobacter",0,0,0,0.1,10.3
"603","Balneatrix",0,0,0,0,6.9
"604","Kistimonas",0,0,0,0,5.2
"605","Hahella",0,0,0,0.1,13.8
"606","Aidingimonas",0,0,0,0,3.4
"607","Kushneria",0,0,0,0.1,1.7
"608","Zymobacter",0,0,0,0.5,31
"609","Aliikangiella",0,0,0,0.1,5.2
"610","Kangiella",0,0,0,0,3.4
"611","Terasakiispira",0,0,0,0,6.9
"612","Litoribacillus",0,0,0,0,15.5
"613","Marinobacterium",0,0,0,0.5,8.6
"614","Marinomonas",0,0,0,0.2,20.7
"615","Marinospirillum",0,0,0,0.2,12.1
"616","Neptuniibacter",0,0,0,0,1.7
"617","Neptunomonas",0,0,0,0.1,5.2
"618","Nitrincola",0,0,0,0,10.3
"619","Oceaniserpentilla",0,0,0,0,12.1
"620","Oceanobacter",0,0,0,0.3,3.4
"621","Oceanospirillaceae",0,0,0,0,3.4
"622","Oceanospirillum",0,0,0,0.1,8.6
"623","Oleispira",0,0,0,0.1,17.2
"624","Profundimonas",0,0,0,0.1,12.1
"625","Pseudospirillum",0,0,0,0.1,12.1
"626","Spongiispira",0,0,0,0,3.4
"627","Thalassolituus",0,0,0,0,5.2
"628","Gynuella",0,0,0,0,3.4
"629","Reinekea",0,0,0,0,8.6
"630","Saccharospirillum",0,0,0,0.1,31
"631","Aggregatibacter",0,0,0,0,3.4
"632","Haemophilus",0,0,0,0,1.7
"633","Alkanindiges",0,0,0,0.3,6.9
"634","Cavicella",0,0,0,0.1,12.1
"635","Fluviicoccus",0,0,0,0.1,15.5
"636","Azotobacter",0,0,0,0.6,10.3
"637","Pseudomonadaceae",0,0,0,0.1,13.8
"638","Cycloclasticus",0,0,0,0,6.9
"639","Galenea",0,0,0,0,5.2
"640","Methylophaga",0,0,0,0,15.5
"641","Piscirickettsia",0,0,0,0,5.2
"642","Sulfurivirga",0,0,0,0.2,5.2
"643","Thioalkalimicrobium",0,0,0,0.1,3.4
"644","Thiothrix",0,0,0,0,5.2
"645","Catenococcus",0,0,0,0.1,10.3
"646","Vibrio",0,0,0,0.5,25.9
"647","Luteibacter",0,0,0,0.1,5.2
"648","Arenimonas",0,0,0,0,3.4
"649","Pseudoxanthomonas",0,0,0,0.8,13.8
"650","Stenotrophomonas",0,0,0,0.9,10.3
"651","Thermomonas",0,0,0,0.1,6.9
"652","Xanthomonas",0,0,0,0,6.9
"653","Vulgatibacter",0,0,0,0.1,60.3
"654","Sandaracinus",0,0,0,0.1,6.9
"655","Peredibacter",0,0,0,0,3.4
"656","Bacteriovorax",0,0,0,0,5.2
"657","Bdellovibrio",0,0,0,0.1,6.9
"658","Bdellovibrionales",0,0,0,0.1,13.8
"659","Azomonas",0,0,0,0.2,15.5
"660","Mariprofundus",0,0,0,0,5.2
"661","Spirochaeta",0,0,0,0,6.9
"662","Treponema",0,0,0,0.1,13.8
"663","Aminivibrio",0,0,0,0,12.1
"664","Aminobacterium",0,0,0,0.1,6.9
"665","Thermovirga",0,0,0,0,3.4
"666","Asteroleplasma",0,0,0,0.1,12.1
"667","Entomoplasma",0,0,0,0.1,6.9
"668","Spiroplasma",0,0,0,0,5.2
"669","Mycoplasma",0,0,0,0.4,60.3
"670","Pelagicoccus",0,0,0,0,5.2
"671","bacterium",0,0,0,0.1,15.5
"672","Verrucomicrobiales",0,0,0,0,8.6
"673","Cucumis",0,0,0,0,1.7
