"","Genus","mean","median","min","max","prevalence"
"128","Tetrasphaera",0,0,0,0.3,13.8
"129","Agromyces",0,0,0,0.9,20.7
"130","Alpinimonas",0,0,0,0,13.8
"131","Cryobacterium",0,0,0,0.4,39.7
"132","Curtobacterium",0,0,0,0.1,6.9
"133","Frondihabitans",0,0,0,0.1,6.9
"134","Herbiconiux",0,0,0,0.1,5.2
"135","Homoserinimonas",0,0,0,0,3.4
"136","Klugiella",0,0,0,0.1,1.7
"137","Laceyella",0,0,0,0.1,36.2
"138","Leucobacter",0,0,0,0.1,27.6
"139","Microbacterium",0,0,0,0.1,39.7
"140","Microcella",0,0,0,0,13.8
"141","Planktoluna",0,0,0,0.1,10.3
"142","Pseudoclavibacter",0,0,0,0.1,15.5
"143","Rathayibacter",0,0,0,0,15.5
"144","Rhodoglobus",0,0,0,0.6,31
"145","Auritidibacter",0,0,0,0.1,6.9
"146","Citricoccus",0,0,0,0.1,10.3
"147","Enteractinococcus",0,0,0,0,3.4
"148","Nesterenkonia",0,0,0,0.3,31
"149","Sinomonas",0,0,0,0.1,13.8
"150","Tersicoccus",0,0,0,0,3.4
"151","Zhihengliuella",0,0,0,0,6.9
"152","Luteimicrobium",0,0,0,0.1,1.7
"153","Promicromonospora",0,0,0,0,5.2
"154","Rarobacter",0,0,0,0.7,6.9
"155","Haloactinobacterium",0,0,0,0,1.7
"156","Ruania",0,0,0,0.1,8.6
"157","Sanguibacter",0,0,0,0,1.7
"158","Actinocatenispora",0,0,0,0,5.2
"159","Actinoplanes",0,0,0,0.1,24.1
"160","Allocatelliglobosispora",0,0,0,0,5.2
"161","Catellatospora",0,0,0,0.1,3.4
"162","Luedemannella",0,0,0,0,1.7
"163","Micromonospora",0,0,0,0.5,17.2
"164","Phytomonospora",0,0,0,0.4,19
"165","Spirilliplanes",0,0,0,0,1.7
"166","Verrucosispora",0,0,0,0.1,6.9
"167","Xiangella",0,0,0,0,3.4
"168","Actinobacterium",0,0,0,0,5.2
"169","Aeromicrobium",0,0,0,0.1,10.3
"170","Kribbella",0,0,0,0,3.4
"171","Nocardioides",0,0,0,0,3.4
"172","Propionicicella",0,0,0,0.1,5.2
"173","Thermasporomyces",0,0,0,0,8.6
"174","Marinilutecoccus",0,0,0,0.4,1.7
"175","Propioniciclava",0,0,0,0,8.6
"176","Propioniferax",0,0,0,0.1,12.1
"177","Propionimicrobium",0,0,0,0,5.2
"178","Tessaracoccus",0,0,0,0.9,36.2
"179","Actinokineospora",0,0,0,0,3.4
"180","Actinophytocola",0,0,0,0,1.7
"181","Amycolatopsis",0,0,0,0.1,20.7
"182","Lentzea",0,0,0,0,5.2
"183","Pseudonocardia",0,0,0,0.5,43.1
"184","Saccharomonospora",0,0,0,0.1,10.3
"185","Saccharopolyspora",0,0,0,0.1,34.5
"186","Saccharothrix",0,0,0,0,3.4
"187","Umezawaea",0,0,0,0,1.7
"188","Yuhushiella",0,0,0,0.1,5.2
"189","Sporichthya",0,0,0,0,6.9
"190","Kitasatospora",0,0,0,0,3.4
"191","Nonomuraea",0,0,0,0,5.2
"192","Streptosporangium",0,0,0,0,8.6
"193","Actinocorallia",0,0,0,0,6.9
"194","Actinomadura",0,0,0,0.5,10.3
"195","Thermomonospora",0,0,0,0.1,19
"196","Olsenella",0,0,0,0.1,10.3
"197","Raoultibacter",0,0,0,0,3.4
"198","Holophaga",0,0,0,0.1,20.7
"199","Egibacter",0,0,0,0.1,25.9
"200","Gaiella",0,0,0,0,6.9
"201","Rubrobacter",0,0,0,0.3,24.1
"202","Thermoleophilum",0,0,0,0,5.2
"203","Phocaeicola",0,0,0,0.1,3.4
"204","Bacteroides",0,0,0,0,1.7
"205","Dysgonomonas",0,0,0,0,8.6
"206","Lascolabacillus",0,0,0,0,3.4
"207","Petrimonas",0,0,0,0,3.4
"208","Porphyromonas",0,0,0,0.1,1.7
"209","Prevotella",0,0,0,0,5.2
"210","Flavisolibacter",0,0,0,1.4,5.2
"211","Chloroherpeton",0,0,0,0,10.3
"212","Cloacimonas",0,0,0,0.1,12.1
"213","Emticicia",0,0,0,0,3.4
"214","Larkinella",0,0,0,0.1,5.2
"215","Flexithrix",0,0,0,0,3.4
"216","Limibacter",0,0,0,0,3.4
"217","Thermonema",0,0,0,0,3.4
"218","Cryomorpha",0,0,0,0,3.4
"219","Bizionia",0,0,0,0.5,6.9
"220","Chryseobacterium",0,0,0,0.1,3.4
"221","Epilithonimonas",0,0,0,0,3.4
"222","Eudoraea",0,0,0,0.4,5.2
"223","Flavobacterium",0,0,0,0,8.6
"224","Gillisia",0,0,0,1,12.1
"225","Pedobacter",0,0,0,0,3.4
"226","Pseudorhodobacter",0,0,0,0.1,5.2
"227","Caldisericum",0,0,0,0,5.2
"228","Vampirovibrio",0,0,0,0,5.2
"229","Criblamydia",0,0,0,0,3.4
"230","Ornatilinea",0,0,0,0,3.4
"231","Thermanaerothrix",0,0,0,0.1,5.2
"232","Anaerolineae",0,0,0,0.1,44.8
"233","Dehalococcoides",0,0,0,0,5.2
"234","Thermoflexus",0,0,0,0,1.7
"235","Scenedesmus",0,0,0,0.1,8.6
"236","Coprothermobacter",0,0,0,0,5.2
"237","Chroococcidiopsis",0,0,0,0,1.7
"238","Halomicronema",0,0,0,0.1,3.4
"239","Synechococcus",0,0,0,0.1,19
"240","Deinobacterium",0,0,0,0,5.2
"241","Oceanithermus",0,0,0,0,3.4
"242","Chitinispirillum",0,0,0,0.1,12.1
"243","Chitinivibrio",0,0,0,0.6,25.9
"244","Tropheryma",0,0,0,0,6.9
"245","Alicyclobacillus",0,0,0,0.3,74.1
"246","Alkalibacillus",0,0,0,0,6.9
"247","Allobacillus",0,0,0,0,13.8
"248","Alteribacillus",0,0,0,0.1,25.9
"249","Amphibacillus",0,0,0,0,5.2
"250","Anaerobacillus",0,0,0,0.3,6.9
"251","Anoxybacillus",0,0,0,0.5,24.1
"252","Aquibacillus",0,0,0,0,5.2
"253","Aureibacillus",0,0,0,0,3.4
"254","Calditerricola",0,0,0,0.5,50
"255","Cerasibacillus",0,0,0,0.1,17.2
"256","Domibacillus",0,0,0,0.2,3.4
"257","Falsibacillus",0,0,0,0,12.1
"258","Filobacillus",0,0,0,0.1,13.8
"259","Gracilibacillus",0,0,0,0.2,27.6
"260","Halalkalibacillus",0,0,0,0,5.2
"261","Halobacillus",0,0,0,0.1,13.8
"262","Halolactibacillus",0,0,0,0.8,1.7
"263","Lentibacillus",0,0,0,1,34.5
"264","Lysinibacillus",0,0,0,0.1,19
"265","Microaerobacter",0,0,0,0,3.4
"266","Natribacillus",0,0,0,0.2,5.2
"267","Natronobacillus",0,0,0,0.2,3.4
"268","Negativibacillus",0,0,0,0,3.4
"269","Ornithinibacillus",0,0,0,0.4,50
"270","Paraliobacillus",0,0,0,0,1.7
"271","Paucisalibacillus",0,0,0,0,6.9
"272","Saccharococcus",0,0,0,0,3.4
"273","Salimicrobium",0,0,0,0,8.6
"274","Salirhabdus",0,0,0,1,3.4
"275","Saliterribacillus",0,0,0,0.2,1.7
"276","Salsuginibacillus",0,0,0,0,10.3
"277","Tepidibacillus",0,0,0,0.2,36.2
"278","Terribacillus",0,0,0,0.2,8.6
"279","Thalassobacillus",0,0,0,0.1,6.9
"280","Thermolongibacillus",0,0,0,0,3.4
"281","Vulcanibacillus",0,0,0,0.1,20.7
"282","Vulcaniibacterium",0,0,0,0.1,1.7
"283","Thermicanus",0,0,0,0,15.5
"284","Listeria",0,0,0,0,5.2
"285","Alkalilactibacillus",0,0,0,0.3,3.4
