taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6
OTU1102,21,FALSE,FALSE,FALSE,FALSE
OTU1108,14,FALSE,FALSE,FALSE,FALSE
OTU1124,46,FALSE,FALSE,FALSE,FALSE
OTU1130,2,FALSE,FALSE,FALSE,FALSE
OTU1137,217,FALSE,FALSE,TRUE,TRUE
OTU1165,154,FALSE,FALSE,FALSE,FALSE
OTU1183,87,FALSE,FALSE,FALSE,FALSE
OTU1191,105,FALSE,FALSE,FALSE,FALSE
OTU1192,69,FALSE,FALSE,FALSE,FALSE
OTU1194,84,FALSE,FALSE,FALSE,FALSE
OTU1198,37,FALSE,FALSE,FALSE,FALSE
OTU1200,77,FALSE,FALSE,FALSE,FALSE
OTU1203,21,FALSE,FALSE,FALSE,FALSE
OTU1212,6,FALSE,FALSE,FALSE,FALSE
OTU1216,243,FALSE,TRUE,TRUE,TRUE
OTU1218,29,FALSE,FALSE,FALSE,FALSE
OTU1223,216,FALSE,FALSE,TRUE,TRUE
OTU1229,16,FALSE,FALSE,FALSE,FALSE
OTU1235,267,TRUE,TRUE,TRUE,TRUE
OTU1247,3,FALSE,FALSE,FALSE,FALSE
OTU1260,31,FALSE,FALSE,FALSE,FALSE
OTU1275,2,FALSE,FALSE,FALSE,FALSE
OTU1277,13,FALSE,FALSE,FALSE,FALSE
OTU1278,127,FALSE,FALSE,FALSE,FALSE
OTU1287,10,FALSE,FALSE,FALSE,FALSE
OTU1292,157,FALSE,FALSE,FALSE,FALSE
OTU1300,43,FALSE,FALSE,FALSE,FALSE
OTU1326,45,FALSE,FALSE,FALSE,FALSE
OTU1327,25,FALSE,FALSE,FALSE,FALSE
OTU1336,225,FALSE,TRUE,TRUE,TRUE
OTU1347,6,FALSE,FALSE,FALSE,FALSE
OTU1359,61,FALSE,FALSE,FALSE,FALSE
OTU1378,32,FALSE,FALSE,FALSE,FALSE
OTU1385,0,FALSE,FALSE,FALSE,FALSE
OTU1400,142,FALSE,FALSE,FALSE,FALSE
OTU1409,40,FALSE,FALSE,FALSE,FALSE
OTU1414,24,FALSE,FALSE,FALSE,FALSE
OTU1420,16,FALSE,FALSE,FALSE,FALSE
OTU1425,27,FALSE,FALSE,FALSE,FALSE
OTU1431,28,FALSE,FALSE,FALSE,FALSE
OTU1432,1,FALSE,FALSE,FALSE,FALSE
OTU1435,164,FALSE,FALSE,FALSE,FALSE
OTU1443,25,FALSE,FALSE,FALSE,FALSE
OTU1445,82,FALSE,FALSE,FALSE,FALSE
OTU1450,0,FALSE,FALSE,FALSE,FALSE
OTU1464,80,FALSE,FALSE,FALSE,FALSE
OTU1467,39,FALSE,FALSE,FALSE,FALSE
OTU1472,0,FALSE,FALSE,FALSE,FALSE
OTU1479,130,FALSE,FALSE,FALSE,FALSE
OTU1497,42,FALSE,FALSE,FALSE,FALSE
OTU1507,17,FALSE,FALSE,FALSE,FALSE
OTU1516,0,FALSE,FALSE,FALSE,FALSE
OTU1536,0,FALSE,FALSE,FALSE,FALSE
OTU1545,63,FALSE,FALSE,FALSE,FALSE
OTU1549,21,FALSE,FALSE,FALSE,FALSE
OTU1551,14,FALSE,FALSE,FALSE,FALSE
OTU1562,7,FALSE,FALSE,FALSE,FALSE
OTU1565,22,FALSE,FALSE,FALSE,FALSE
OTU1571,44,FALSE,FALSE,FALSE,FALSE
OTU1572,36,FALSE,FALSE,FALSE,FALSE
OTU1585,0,FALSE,FALSE,FALSE,FALSE
OTU1605,17,FALSE,FALSE,FALSE,FALSE
OTU1610,78,FALSE,FALSE,FALSE,FALSE
OTU1613,32,FALSE,FALSE,FALSE,FALSE
OTU1615,121,FALSE,FALSE,FALSE,FALSE
OTU1622,143,FALSE,FALSE,FALSE,FALSE
OTU1680,258,TRUE,TRUE,TRUE,TRUE
OTU1709,167,FALSE,FALSE,FALSE,TRUE
OTU1731,114,FALSE,FALSE,FALSE,FALSE
OTU1749,30,FALSE,FALSE,FALSE,FALSE
OTU1760,123,FALSE,FALSE,FALSE,FALSE
OTU1768,48,FALSE,FALSE,FALSE,FALSE
OTU1789,0,FALSE,FALSE,FALSE,FALSE
OTU1795,23,FALSE,FALSE,FALSE,FALSE
OTU1797,33,FALSE,FALSE,FALSE,FALSE
